category,rank,model,provider,quality_score,cost_in_per_mtok_usd,cost_out_per_mtok_usd,usd_per_sec,cost_10min_usd,cost_1hr_usd,pass,pass_to_when
creative_writing,1,Claude Fable 5.1,Anthropic,96,10.00,50.00,,,,yes,"Best long-form voice, novels, essays, narrative tone."
creative_writing,2,Claude Fable 5,Anthropic,94,10.00,50.00,,,,,Near-identical prose to 5.1; use if 5.1 is unavailable.
creative_writing,3,Claude Opus 5,Anthropic,93,5.00,25.00,,,,,Literary quality at half Fable token price.
creative_writing,4,Muse Spark 1.2,Meta,92,1.25,4.25,,,,,Strong Arena writing; cheap creative drafts.
creative_writing,5,Claude Sonnet 5,Anthropic,88,2.00,10.00,,,,,Daily writing when Opus/Fable is overkill.
creative_writing,6,Qwen3.8 Max,Alibaba,87,2.00,6.00,,,,,Expressive multilingual prose; good cheap Claude alternative.
creative_writing,7,Gemini 3.8 Flash,Google,86,0.75,3.75,,,,,Fast drafts; lighter literary voice.
creative_writing,8,GPT-6 Astra,OpenAI,85,10.00,50.00,,,,,Early frontier; unproven vs Claude on voice.
creative_writing,9,GPT-5.6 Sol,OpenAI,82,4.00,20.00,,,,,Competent but more 'assistant' than author.
creative_writing,10,Grok 4.6,xAI,81,2.00,6.00,,,,,Punchy/personality-heavy; less sustained literary control.
creative_writing,11,Kimi K3,Moonshot,80,3.00,15.00,,,,,Fine for drafts; not the voice pick.
creative_writing,12,GPT-5.6 Terra,OpenAI,79,2.00,12.00,,,,,Functional prose; pass elsewhere for quality writing.

copywriting,1,Claude Fable 5.1,Anthropic,94,10.00,50.00,,,,,Highest-end brand voice and long-form sales pages.
copywriting,2,Claude Opus 5,Anthropic,93,5.00,25.00,,,,yes,Default for conversion copy that still reads human.
copywriting,3,GPT-5.6 Sol,OpenAI,90,4.00,20.00,,,,,Ads
copywriting,4,Claude Sonnet 5,Anthropic,89,2.00,10.00,,,,,Volume copy at Claude quality without Opus cost.
copywriting,5,GPT-6 Astra,OpenAI,88,10.00,50.00,,,,,Strong structured marketing copy; evidence still early.
copywriting,6,Muse Spark 1.2,Meta,87,1.25,4.25,,,,,Cheap on-brand drafts and social copy.
copywriting,7,Gemini 3.8 Flash,Google,86,0.75,3.75,,,,,Fast ad variants and headline volume.
copywriting,8,Grok 4.6,xAI,84,2.00,6.00,,,,,Edgy/social copy; less 'agency polished'.
copywriting,9,Qwen3.8 Max,Alibaba,83,2.00,6.00,,,,,Multilingual ads and product copy.
copywriting,10,GPT-5.6 Terra,OpenAI,82,2.00,12.00,,,,,Solid mid-tier conversion copy.
copywriting,11,Kimi K3,Moonshot,80,3.00,15.00,,,,,Usable drafts; not the closer.
copywriting,12,GLM-5.3,Z.ai,76,1.40,4.40,,,,,Cheap bulk variants; human-edit required.

coding,1,Claude Opus 5,Anthropic,96,5.00,25.00,,,,yes,Hardest multi-file engineering; SWE-bench Verified 96%.
coding,2,Claude Fable 5.1,Anthropic,94,10.00,50.00,,,,,Highest ceiling; pay extra only when Opus is stuck.
coding,3,Claude Fable 5,Anthropic,93,10.00,50.00,,,,,SWE-bench Pro leader among published scores (80.3%).
coding,4,GPT-5.6 Sol,OpenAI,92,4.00,20.00,,,,,Repo agents
coding,5,Grok 4.6,xAI,90,2.00,6.00,,,,,Best quality-per-dollar coding; Grok Build default.
coding,6,GPT-5.6 Terra,OpenAI,88,2.00,12.00,,,,,Codex coding without Sol's max agent spend.
coding,7,Claude Sonnet 5,Anthropic,86,2.00,10.00,,,,,Daily production coding; 80%+ of real tasks.
coding,8,GPT-6 Astra,OpenAI,85,10.00,50.00,,,,,New coding-agent index 67; still provisional.
coding,9,Kimi K3,Moonshot,84,3.00,15.00,,,,,Cheap capable coder for well-specified tasks.
coding,10,GLM-5.3,Z.ai,82,1.40,4.40,,,,,Inexpensive implementation loops; weaker reviews.
coding,11,Gemini 3.8 Flash,Google,81,0.75,3.75,,,,,Fast patches and boilerplate; not architecture.
coding,12,Qwen3.8 Max,Alibaba,80,2.00,6.00,,,,,Strong open-adjacent coder; LiveCodeBench family strength.

design,1,GPT Image 2,OpenAI,95,n/a,n/a,,,,yes,Best prompt-accurate images; billed per image not tokens.
design,2,Nano Banana Pro,Google,94,n/a,n/a,,,,,"Edits, layout, text-in-image; Gemini image credits not $/MTok."
design,3,Midjourney V8,Midjourney,92,n/a,n/a,,,,,Art direction
design,4,FLUX.2 Max,Black Forest Labs,90,n/a,n/a,,,,,Photoreal product shots; per-image / self-host FLUX.2.
design,5,Seedream 4.5,ByteDance,88,n/a,n/a,,,,,4K product/packaging; per-image.
design,6,Recraft V4,Recraft,86,n/a,n/a,,,,,Brand systems
design,7,Ideogram 4.0,Ideogram,85,n/a,n/a,,,,,Logos
design,8,Grok Imagine,xAI,84,n/a,n/a,,,,,Fast concepts; SuperGrok image credits not $/MTok.
